Year,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
2017,VI,381.0,74,307,369,62,307,12,12,0,3,3,0,334,27,307,334,27,307,0,0,0,23,6,17
2017,VT,1225.0,1091,134,697,600,97,528,491,37,179,170,9,127,94,33,111,82,29,16,12,4,94,89,5
2017,WA,21112.0,12521,8591,14781,6733,8048,6331,5788,543,1993,1823,170,4939,1747,3192,4357,1290,3067,582,457,125,2093,1094,999
2017,WI,5027.0,4687,340,2645,2317,328,2382,2370,12,743,739,4,434,367,67,342,275,67,92,92,0,329,309,20
2017,WV,1309.0,1121,188,1032,860,172,277,261,16,95,91,4,206,140,66,188,131,57,18,9,9,137,124,13
2017,WY,873.0,510,363,622,383,239,251,127,124,96,55,41,68,26,42,14,14,0,54,12,42,63,50,13
2017,Total,550996.0,360867,190129,366585,193144,173441,184411,167723,16688,57886,52829,5057,95092,32609,62483,86705,26629,60076,8387,5980,2407,40020,24690,15330
2016,AK,1940.0,1498,442,1527,1089,438,413,409,4,135,134,1,122,94,28,112,84,28,10,10,0,168,112,56
2016,AL,4111.0,2893,1218,3019,2017,1002,1092,876,216,356,293,63,420,172,248,390,163,227,30,9,21,373,321,52
2016,AR,2463.0,1616,847,1838,1140,698,625,476,149,191,147,44,503,226,277,417,163,254,86,63,23,222,159,63
2016,AZ,9707.0,6463,3244,6659,3564,3095,3048,2899,149,917,877,40,1395,468,927,1327,423,904,68,45,23,1036,663,373
2016,CA,118142.0,39752,78390,97660,23720,73940,20482,16032,4450,6764,5175,1589,31548,4478,27070,29802,3910,25892,1746,568,1178,9612,4012,5600
2016,CO,10550.0,7611,2939,6450,4352,2098,4100,3259,841,1200,959,241,1829,949,880,1642,883,759,187,66,121,1181,906,275
2016,CT,3902.0,3229,673,2570,1903,667,1332,1326,6,449,447,2,467,282,185,439,254,185,28,28,0,216,173,43
2016,DC,8350.0,8032,318,3683,3365,318,4667,4667,0,1491,1491,0,1597,1357,240,1501,1261,240,96,96,0,350,322,28
2016,DE,1070.0,1019,51,753,702,51,317,317,0,108,108,0,74,72,2,65,63,2,9,9,0,107,103,4
2016,FL,33559.0,18198,15361,24201,11641,12560,9358,6557,2801,3031,2102,929,5895,1402,4493,5415,1219,4196,480,183,297,2902,1825,1077
2016,GA,12909.0,7543,5366,9265,4785,4480,3644,2758,886,1145,920,225,1815,470,1345,1658,415,1243,157,55,102,1055,581,474
2016,GU,1085.0,112,973,227,18,209,858,94,764,158,23,135,55,0,55,15,0,15,40,0,40,21,6,15
2016,HI,7921.0,3613,4308,4590,1282,3308,3331,2331,1000,805,569,236,1949,137,1812,1659,120,1539,290,17,273,670,264,406
2016,IA,3064.0,2921,143,1543,1400,143,1521,1521,0,466,466,0,184,137,47,159,112,47,25,25,0,170,154,16
2016,ID,2247.0,1509,738,1284,886,398,963,623,340,291,197,94,337,160,177,227,99,128,110,61,49,267,202,65
2016,IL,11590.0,9736,1854,6986,5226,1760,4604,4510,94,1461,1431,30,1024,620,404,937,562,375,87,58,29,949,713,236
2016,IN,5798.0,5107,691,3824,3158,666,1974,1949,25,609,604,5,589,374,215,534,319,215,55,55,0,663,614,49
